Ticker,Shares_Outstanding,P/B_Ratio,Book_Value_Per_Share,Market_Price,P/B_Ratio_Calculated,Latest_Price,Market_Cap
ADANIENT.NS,1154179968,6.365548,413.193,2630.2,6.365548303093227,2621.800048828125,3026029096458.8438
ADANIPORTS.NS,2160140032,5.0089674,288.263,1443.9,5.008967505368362,1447.0,3125722626304.0
APOLLOHOSP.NS,143784992,13.026163,571.235,7441.0,13.026162612585013,7496.0,1077812300032.0
ASIANPAINT.NS,958742976,11.962422,202.25,2419.4,11.962422744128554,2369.5,2271741481632.0
AXISBANK.NS,3101189888,1.944258,604.498,1175.3,1.9442578800922417,1173.300048828125,3638626247015.6875
BAJAJ-AUTO.NS,279257984,6.6237946,1261.588,8356.5,6.623794772936965,8399.0,2345487807616.0
BAJFINANCE.NS,6211939840,5.910226,156.17,923.0,5.910226035730294,936.6500244140624,5818413602794.687
BAJAJFINSV.NS,1594989952,4.4388094,452.351,2007.9,4.43880968539917,2053.800048828125,3275790441297.9688
BEL.NS,7309779968,15.624314,27.326,426.95,15.624313840298615,432.25,3159652391168.0
BHARTIARTL.NS,5697959936,10.895753,186.614,2033.3,10.895752730234602,2019.4000244140625,11506460433868.75
BRITANNIA.NS,240868000,32.01442,180.856,5790.0,32.01442031229266,5743.5,1383425358000.0
CIPLA.NS,807750976,3.8773718,386.241,1497.6,3.8773718999277653,1515.699951171875,1224308114882.2344
COALINDIA.NS,6162729984,2.4065135,160.772,386.9,2.4065135720150277,389.75,2401924011264.0
DIVISLAB.NS,265468992,12.168448,563.712,6859.5,12.168447717983652,6856.5,1820188143648.0
DRREDDY.NS,832129984,3.1714106,400.705,1270.8,3.171410389189054,1276.800048828125,1062463604202.5469
EICHERMOT.NS,274252000,7.3660307,776.877,5722.5,7.366030916090964,5715.5,1567487306000.0
GRASIM.NS,678414016,1.9675559,1448.396,2849.8,1.967555834177946,2848.10009765625,1932191025220.9688
HCLTECH.NS,2708910080,571.3431,3.008,1718.6,571.343085106383,1718.300048828125,4654720322735.0
HDFCBANK.NS,7667899904,2.911221,682.188,1986.0,2.9112209537546834,2012.0999755859373,15428581209633.81
HDFCLIFE.NS,2154149888,10.524703,75.033,789.7,10.524702464249064,809.9000244140625,1744646046882.75
HEROMOTOCO.NS,200016000,4.402973,963.826,4243.7,4.402973150755426,4226.0,845267616000.0
HINDALCO.NS,2236760064,1.2530706,557.311,698.35,1.2530705476834298,694.2999877929688,1552982485131.0
HINDUNILVR.NS,2349590016,10.972711,210.258,2307.1,10.972709718536274,2295.5,5393483881728.0
ICICIBANK.NS,7135540224,3.2398973,440.693,1427.8,3.2398971619698975,1432.0,10218093600768.0
INDUSINDBK.NS,779056000,1.0303155,832.415,857.65,1.0303154075791523,879.0999755859375,684868110580.0781
INFY.NS,4144620032,595.5991,2.704,1610.5,595.5991124260355,1606.800048828125,6659575669791.625
ITC.NS,12517499904,7.3792467,55.961,412.95,7.379246260788763,415.1000061035156,5196014286551.156
JSWSTEEL.NS,2440480000,3.2583935,325.283,1059.9,3.2583934604636577,1029.5999755859375,2512718148417.9688
KOTAKBANK.NS,1988249984,2.7383652,792.115,2169.1,2.7383650101311043,2183.60009765625,4341542859227.4375
LT.NS,1375280000,5.065038,710.123,3596.8,5.06503802862321,3666.699951171875,5042739108847.656
LTIM.NS,296272992,6.923778,766.128,5304.5,6.923777749932126,5304.0,1571431949568.0
M&M.NS,1199640064,4.5864553,690.119,3165.2,4.586455379434561,3176.10009765625,3810176924422.75
MARUTI.NS,314403008,4.1233625,3061.094,12622.0,4.123362431862596,12442.0,3911802225536.0
NESTLEIND.NS,964156992,57.41351,41.593,2388.0,57.41350708051835,2410.10009765625,2323714860575.1562
NTPC.NS,9696669696,1.758004,189.846,333.75,1.7580038557567712,332.6000061035156,3225112400073.375
ONGC.NS,12580299776,0.88317615,272.958,241.07,0.8831761662966463,243.3699951171875,3061667495057.875
POWERGRID.NS,9300599808,2.955712,99.756,294.85,2.955711937126589,297.54998779296875,2767393359337.6875
RELIANCE.NS,13532499968,2.4376936,623.048,1518.8,2.437693404039496,1528.4000244140625,20683073281474.5
SBILIFE.NS,1002350016,10.952118,169.538,1856.8,10.95211692953792,1862.5,1866876904800.0
SBIN.NS,8924619776,1.4897146,545.675,812.9,1.4897145736931325,820.2999877929688,7320865493309.6875
SUNPHARMA.NS,2399330048,5.548664,302.325,1677.5,5.548664516662532,1667.199951171875,4000162938870.8125
TCS.NS,3618089984,13.07127,261.895,3423.3,13.071269020027112,3429.699951171875,12408963041460.25
TATACONSUM.NS,989534016,5.4211836,202.133,1095.8,5.421183082425927,1095.5999755859375,1084133443771.0547
TATAMOTORS.NS,3681459968,2.1824572,315.493,688.55,2.182457296992326,683.7999877929688,2517382281178.703
TATASTEEL.NS,12471799808,2.2713332,73.032,165.88,2.2713331142512874,160.05999755859375,1996236246819.75
TECHM.NS,884972032,5.4230504,309.254,1677.1,5.423050308160929,1671.199951171875,1478965216666.875
TITAN.NS,887044992,28.320042,130.932,3708.0,28.32004399230135,3700.5,3282509992896.0
ULTRACEMCO.NS,294148000,5.173553,2403.764,12436.0,5.17355281134088,12210.0,3591547080000.0
UPL.NS,750608000,1.8065722,372.335,672.65,1.8065720386211341,671.0499877929688,503695489237.3047
WIPRO.NS,10470400000,3.3718083,79.186,267.0,3.3718081479049324,264.54998779296875,2769944192187.5
